model,policy,z,scope,group,fill_rate,stockout_units,excess_units,stockout_skumonth_rate,excess_per_unit_shortage,n_rows
B1_last_month,forecast_only,1.280000,overall,all,0.669546,723296.000000,532116.000000,0.429064,0.735682,16529
B1_last_month,forecast_only,1.280000,month,2011-06,0.711190,78579.000000,96841.000000,0.394294,1.232403,2734
B1_last_month,forecast_only,1.280000,month,2011-07,0.723893,75826.000000,80140.000000,0.409209,1.056893,2693
B1_last_month,forecast_only,1.280000,month,2011-08,0.688115,89909.000000,83023.000000,0.352314,0.923411,2722
B1_last_month,forecast_only,1.280000,month,2011-09,0.589408,163768.000000,71295.000000,0.461069,0.435341,2787
B1_last_month,forecast_only,1.280000,month,2011-10,0.698255,128738.000000,109363.000000,0.422790,0.849501,2817
B1_last_month,forecast_only,1.280000,month,2011-11,0.647032,186476.000000,91454.000000,0.532061,0.490433,2776
B1_last_month,forecast_only,1.280000,abc,A,0.708958,458024.000000,351919.000000,0.492350,0.768342,4771
B1_last_month,forecast_only,1.280000,abc,B,0.594115,171053.000000,103977.000000,0.451192,0.607864,4825
B1_last_month,forecast_only,1.280000,abc,C,0.513384,94219.000000,76220.000000,0.370114,0.808966,6933
B1_last_month,forecast_only,1.645000,overall,all,0.669546,723296.000000,532116.000000,0.429064,0.735682,16529
B1_last_month,forecast_only,1.645000,month,2011-06,0.711190,78579.000000,96841.000000,0.394294,1.232403,2734
B1_last_month,forecast_only,1.645000,month,2011-07,0.723893,75826.000000,80140.000000,0.409209,1.056893,2693
B1_last_month,forecast_only,1.645000,month,2011-08,0.688115,89909.000000,83023.000000,0.352314,0.923411,2722
B1_last_month,forecast_only,1.645000,month,2011-09,0.589408,163768.000000,71295.000000,0.461069,0.435341,2787
B1_last_month,forecast_only,1.645000,month,2011-10,0.698255,128738.000000,109363.000000,0.422790,0.849501,2817
B1_last_month,forecast_only,1.645000,month,2011-11,0.647032,186476.000000,91454.000000,0.532061,0.490433,2776
B1_last_month,forecast_only,1.645000,abc,A,0.708958,458024.000000,351919.000000,0.492350,0.768342,4771
B1_last_month,forecast_only,1.645000,abc,B,0.594115,171053.000000,103977.000000,0.451192,0.607864,4825
B1_last_month,forecast_only,1.645000,abc,C,0.513384,94219.000000,76220.000000,0.370114,0.808966,6933
B1_last_month,forecast_only,2.050000,overall,all,0.669546,723296.000000,532116.000000,0.429064,0.735682,16529
B1_last_month,forecast_only,2.050000,month,2011-06,0.711190,78579.000000,96841.000000,0.394294,1.232403,2734
B1_last_month,forecast_only,2.050000,month,2011-07,0.723893,75826.000000,80140.000000,0.409209,1.056893,2693
B1_last_month,forecast_only,2.050000,month,2011-08,0.688115,89909.000000,83023.000000,0.352314,0.923411,2722
B1_last_month,forecast_only,2.050000,month,2011-09,0.589408,163768.000000,71295.000000,0.461069,0.435341,2787
B1_last_month,forecast_only,2.050000,month,2011-10,0.698255,128738.000000,109363.000000,0.422790,0.849501,2817
B1_last_month,forecast_only,2.050000,month,2011-11,0.647032,186476.000000,91454.000000,0.532061,0.490433,2776
B1_last_month,forecast_only,2.050000,abc,A,0.708958,458024.000000,351919.000000,0.492350,0.768342,4771
B1_last_month,forecast_only,2.050000,abc,B,0.594115,171053.000000,103977.000000,0.451192,0.607864,4825
B1_last_month,forecast_only,2.050000,abc,C,0.513384,94219.000000,76220.000000,0.370114,0.808966,6933
B1_last_month,forecast_plus_ss,1.280000,overall,all,0.856799,313437.000000,1726902.000000,0.149313,5.509567,16529
B1_last_month,forecast_plus_ss,1.280000,month,2011-06,0.889793,29985.000000,309470.000000,0.115582,10.320827,2734
B1_last_month,forecast_plus_ss,1.280000,month,2011-07,0.911221,24381.000000,296293.000000,0.124768,12.152619,2693
B1_last_month,forecast_plus_ss,1.280000,month,2011-08,0.904807,27442.000000,282025.000000,0.095885,10.277130,2722
B1_last_month,forecast_plus_ss,1.280000,month,2011-09,0.798435,80396.000000,254520.000000,0.184069,3.165829,2787
B1_last_month,forecast_plus_ss,1.280000,month,2011-10,0.843619,66719.000000,318947.000000,0.154420,4.780452,2817
B1_last_month,forecast_plus_ss,1.280000,month,2011-11,0.840029,84514.000000,265647.000000,0.218660,3.143231,2776
B1_last_month,forecast_plus_ss,1.280000,abc,A,0.896701,162566.000000,1225538.000000,0.138545,7.538710,4771
B1_last_month,forecast_plus_ss,1.280000,abc,B,0.785704,90311.000000,334954.000000,0.148187,3.708895,4825
B1_last_month,forecast_plus_ss,1.280000,abc,C,0.687224,60560.000000,166410.000000,0.157508,2.747853,6933
B1_last_month,forecast_plus_ss,1.645000,overall,all,0.878041,266943.000000,2136719.000000,0.119608,8.004402,16529
B1_last_month,forecast_plus_ss,1.645000,month,2011-06,0.905546,25699.000000,379495.000000,0.092538,14.766917,2734
B1_last_month,forecast_plus_ss,1.645000,month,2011-07,0.927213,19989.000000,368005.000000,0.095804,18.410376,2693
B1_last_month,forecast_plus_ss,1.645000,month,2011-08,0.925263,21545.000000,350475.000000,0.072373,16.267115,2722
B1_last_month,forecast_plus_ss,1.645000,month,2011-09,0.821934,71023.000000,320972.000000,0.151417,4.519268,2787
B1_last_month,forecast_plus_ss,1.645000,month,2011-10,0.863315,58316.000000,387765.000000,0.128506,6.649376,2817
B1_last_month,forecast_plus_ss,1.645000,month,2011-11,0.866800,70371.000000,330007.000000,0.174712,4.689531,2776
B1_last_month,forecast_plus_ss,1.645000,abc,A,0.916434,131511.000000,1527168.000000,0.101656,11.612473,4771
B1_last_month,forecast_plus_ss,1.645000,abc,B,0.810705,79775.000000,412620.000000,0.120000,5.172297,4825
B1_last_month,forecast_plus_ss,1.645000,abc,C,0.712547,55657.000000,196931.000000,0.131689,3.538297,6933
B1_last_month,forecast_plus_ss,2.050000,overall,all,0.895010,229801.000000,2606482.000000,0.099280,11.342344,16529
B1_last_month,forecast_plus_ss,2.050000,month,2011-06,0.918013,22307.000000,458513.000000,0.074616,20.554669,2734
B1_last_month,forecast_plus_ss,2.050000,month,2011-07,0.937500,17164.000000,449839.000000,0.078351,26.208285,2693
B1_last_month,forecast_plus_ss,2.050000,month,2011-08,0.942232,16653.000000,428104.000000,0.059515,25.707320,2722
B1_last_month,forecast_plus_ss,2.050000,month,2011-09,0.841811,63095.000000,397341.000000,0.128095,6.297504,2787
B1_last_month,forecast_plus_ss,2.050000,month,2011-10,0.879033,51610.000000,466761.000000,0.107916,9.044003,2817
B1_last_month,forecast_plus_ss,2.050000,month,2011-11,0.888376,58972.000000,405924.000000,0.145173,6.883334,2776
B1_last_month,forecast_plus_ss,2.050000,abc,A,0.931368,108009.000000,1872818.000000,0.081953,17.339462,4771
B1_last_month,forecast_plus_ss,2.050000,abc,B,0.832597,70549.000000,501460.000000,0.098860,7.107968,4825
B1_last_month,forecast_plus_ss,2.050000,abc,C,0.735344,51243.000000,232204.000000,0.111496,4.531429,6933
B2_ma3,forecast_only,1.280000,overall,all,0.655346,754376.000000,446805.000000,0.390768,0.592284,16529
B2_ma3,forecast_only,1.280000,month,2011-06,0.719603,76290.000000,87527.000000,0.347110,1.147293,2734
B2_ma3,forecast_only,1.280000,month,2011-07,0.737755,72019.000000,75127.000000,0.371333,1.043155,2693
B2_ma3,forecast_only,1.280000,month,2011-08,0.728885,78156.000000,80835.000000,0.317781,1.034278,2722
B2_ma3,forecast_only,1.280000,month,2011-09,0.604448,157769.000000,58953.000000,0.406889,0.373667,2787
B2_ma3,forecast_only,1.280000,month,2011-10,0.614387,164520.000000,78126.000000,0.398296,0.474872,2817
B2_ma3,forecast_only,1.280000,month,2011-11,0.610792,205622.000000,66237.000000,0.500360,0.322130,2776
B2_ma3,forecast_only,1.280000,abc,A,0.707098,460952.000000,286210.000000,0.460071,0.620911,4771
B2_ma3,forecast_only,1.280000,abc,B,0.533313,196677.000000,94920.000000,0.420725,0.482619,4825
B2_ma3,forecast_only,1.280000,abc,C,0.500328,96747.000000,65675.000000,0.322227,0.678832,6933
B2_ma3,forecast_only,1.645000,overall,all,0.655346,754376.000000,446805.000000,0.390768,0.592284,16529
B2_ma3,forecast_only,1.645000,month,2011-06,0.719603,76290.000000,87527.000000,0.347110,1.147293,2734
B2_ma3,forecast_only,1.645000,month,2011-07,0.737755,72019.000000,75127.000000,0.371333,1.043155,2693
B2_ma3,forecast_only,1.645000,month,2011-08,0.728885,78156.000000,80835.000000,0.317781,1.034278,2722
B2_ma3,forecast_only,1.645000,month,2011-09,0.604448,157769.000000,58953.000000,0.406889,0.373667,2787
B2_ma3,forecast_only,1.645000,month,2011-10,0.614387,164520.000000,78126.000000,0.398296,0.474872,2817
B2_ma3,forecast_only,1.645000,month,2011-11,0.610792,205622.000000,66237.000000,0.500360,0.322130,2776
B2_ma3,forecast_only,1.645000,abc,A,0.707098,460952.000000,286210.000000,0.460071,0.620911,4771
B2_ma3,forecast_only,1.645000,abc,B,0.533313,196677.000000,94920.000000,0.420725,0.482619,4825
B2_ma3,forecast_only,1.645000,abc,C,0.500328,96747.000000,65675.000000,0.322227,0.678832,6933
B2_ma3,forecast_only,2.050000,overall,all,0.655346,754376.000000,446805.000000,0.390768,0.592284,16529
B2_ma3,forecast_only,2.050000,month,2011-06,0.719603,76290.000000,87527.000000,0.347110,1.147293,2734
B2_ma3,forecast_only,2.050000,month,2011-07,0.737755,72019.000000,75127.000000,0.371333,1.043155,2693
B2_ma3,forecast_only,2.050000,month,2011-08,0.728885,78156.000000,80835.000000,0.317781,1.034278,2722
B2_ma3,forecast_only,2.050000,month,2011-09,0.604448,157769.000000,58953.000000,0.406889,0.373667,2787
B2_ma3,forecast_only,2.050000,month,2011-10,0.614387,164520.000000,78126.000000,0.398296,0.474872,2817
B2_ma3,forecast_only,2.050000,month,2011-11,0.610792,205622.000000,66237.000000,0.500360,0.322130,2776
B2_ma3,forecast_only,2.050000,abc,A,0.707098,460952.000000,286210.000000,0.460071,0.620911,4771
B2_ma3,forecast_only,2.050000,abc,B,0.533313,196677.000000,94920.000000,0.420725,0.482619,4825
B2_ma3,forecast_only,2.050000,abc,C,0.500328,96747.000000,65675.000000,0.322227,0.678832,6933
