model,forecast_origin,target_month,n_rows,wmape,bias
B1_last_month,2010-05,2010-06,3670,0.6028,-0.0203
B1_last_month,2010-06,2010-07,3514,0.6136,0.2369
B1_last_month,2010-07,2010-08,3517,0.6502,-0.2728
B1_last_month,2010-08,2010-09,3507,0.4781,-0.1299
B1_last_month,2010-09,2010-10,3462,0.6575,-0.0401
B1_last_month,2010-10,2010-11,3495,0.4866,-0.1339
B1_last_month,2010-11,2010-12,3514,1.3383,1.0342
B1_last_month,2010-12,2011-01,3476,0.8557,0.1530
B1_last_month,2011-01,2011-02,3450,1.0193,0.3914
B1_last_month,2011-02,2011-03,3393,0.5566,-0.2336
B1_last_month,2011-03,2011-04,3367,0.7762,0.2537
B1_last_month,2011-04,2011-05,3345,0.6028,-0.1539
B1_last_month,2011-05,2011-06,3284,0.6099,0.0902
B1_last_month,2011-06,2011-07,3289,0.5490,0.0033
B1_last_month,2011-07,2011-08,3310,0.5931,-0.0310
B1_last_month,2011-08,2011-09,3324,0.5698,-0.2336
B1_last_month,2011-09,2011-10,3373,0.5524,-0.0486
B1_last_month,2011-10,2011-11,3388,0.5101,-0.1644
B2_ma3,2010-05,2010-06,3670,0.6601,0.0625
B2_ma3,2010-06,2010-07,3514,0.5922,0.1851
B2_ma3,2010-07,2010-08,3517,0.6871,-0.1819
B2_ma3,2010-08,2010-09,3507,0.5916,-0.2528
B2_ma3,2010-09,2010-10,3462,0.6558,-0.2361
B2_ma3,2010-10,2010-11,3495,0.5895,-0.2195
B2_ma3,2010-11,2010-12,3514,1.1822,0.8042
B2_ma3,2010-12,2011-01,3476,1.3043,0.8288
B2_ma3,2011-01,2011-02,3450,1.1631,0.7612
B2_ma3,2011-02,2011-03,3393,0.6966,-0.0718
B2_ma3,2011-03,2011-04,3367,0.7632,0.1615
B2_ma3,2011-04,2011-05,3345,0.5426,-0.1140
B2_ma3,2011-05,2011-06,3284,0.5883,-0.0070
B2_ma3,2011-06,2011-07,3289,0.5356,-0.0604
B2_ma3,2011-07,2011-08,3310,0.5437,-0.0437
B2_ma3,2011-08,2011-09,3324,0.5395,-0.2664
B2_ma3,2011-09,2011-10,3373,0.5732,-0.2256
B2_ma3,2011-10,2011-11,3388,0.5207,-0.2767
B3_seasonal_naive,2010-11,2010-12,2561,1.1857,0.6452
B3_seasonal_naive,2010-12,2011-01,2701,1.1348,0.4147
B3_seasonal_naive,2011-01,2011-02,2744,1.2276,0.6470
B3_seasonal_naive,2011-02,2011-03,2857,1.0696,0.5462
B3_seasonal_naive,2011-03,2011-04,2830,1.0690,0.4708
B3_seasonal_naive,2011-04,2011-05,2819,0.8945,0.2873
B3_seasonal_naive,2011-05,2011-06,2734,0.9492,0.4278
B3_seasonal_naive,2011-06,2011-07,2693,0.8254,0.1604
B3_seasonal_naive,2011-07,2011-08,2722,1.0823,0.4714
B3_seasonal_naive,2011-08,2011-09,2787,0.9226,0.3464
B3_seasonal_naive,2011-09,2011-10,2817,0.8890,0.3734
B3_seasonal_naive,2011-10,2011-11,2776,0.7889,0.3274
M1_linear,2010-05,2010-06,3670,0.7004,0.1587
M1_linear,2010-06,2010-07,3514,0.5602,0.0388
M1_linear,2010-07,2010-08,3517,0.6755,-0.1931
M1_linear,2010-08,2010-09,3507,0.7805,-0.0293
M1_linear,2010-09,2010-10,3462,0.5976,-0.2297
M1_linear,2010-10,2010-11,3495,0.6262,0.0180
M1_linear,2010-11,2010-12,3514,1.9361,1.7194
M1_linear,2010-12,2011-01,3476,0.9064,0.1713
M1_linear,2011-01,2011-02,3450,0.7784,0.2102
M1_linear,2011-02,2011-03,3393,0.5550,-0.2656
M1_linear,2011-03,2011-04,3367,0.7054,0.0533
M1_linear,2011-04,2011-05,3345,0.5300,-0.2260
M1_linear,2011-05,2011-06,3284,0.5907,-0.0552
M1_linear,2011-06,2011-07,3289,0.5310,-0.1132
M1_linear,2011-07,2011-08,3310,0.5787,-0.0338
M1_linear,2011-08,2011-09,3324,0.5619,-0.2465
M1_linear,2011-09,2011-10,3373,0.5865,-0.1721
M1_linear,2011-10,2011-11,3388,0.5612,-0.1731
M2_gbm_poisson,2010-05,2010-06,3670,0.5426,-0.0637
M2_gbm_poisson,2010-06,2010-07,3514,0.6158,0.2440
M2_gbm_poisson,2010-07,2010-08,3517,0.6247,-0.2931
M2_gbm_poisson,2010-08,2010-09,3507,0.6763,-0.2137
M2_gbm_poisson,2010-09,2010-10,3462,0.6799,0.0171
M2_gbm_poisson,2010-10,2010-11,3495,0.5171,-0.0305
M2_gbm_poisson,2010-11,2010-12,3514,1.5871,1.3371
M2_gbm_poisson,2010-12,2011-01,3476,1.1072,0.6650
M2_gbm_poisson,2011-01,2011-02,3450,0.7204,0.1053
M2_gbm_poisson,2011-02,2011-03,3393,0.5252,-0.1797
M2_gbm_poisson,2011-03,2011-04,3367,0.7135,0.1672
M2_gbm_poisson,2011-04,2011-05,3345,0.5341,-0.1330
M2_gbm_poisson,2011-05,2011-06,3284,0.5660,0.0908
M2_gbm_poisson,2011-06,2011-07,3289,0.4677,-0.0626
M2_gbm_poisson,2011-07,2011-08,3310,0.5667,0.0784
M2_gbm_poisson,2011-08,2011-09,3324,0.5273,-0.1389
M2_gbm_poisson,2011-09,2011-10,3373,0.5743,0.0901
M2_gbm_poisson,2011-10,2011-11,3388,0.4914,-0.0340
M3_gbm_squared,2010-05,2010-06,3670,0.6249,0.0061
M3_gbm_squared,2010-06,2010-07,3514,0.6435,0.2820
M3_gbm_squared,2010-07,2010-08,3517,0.6475,-0.2550
M3_gbm_squared,2010-08,2010-09,3507,0.6977,-0.1433
M3_gbm_squared,2010-09,2010-10,3462,0.6975,0.0069
M3_gbm_squared,2010-10,2010-11,3495,0.5278,-0.0307
M3_gbm_squared,2010-11,2010-12,3514,1.6826,1.4378
M3_gbm_squared,2010-12,2011-01,3476,1.2283,0.8269
M3_gbm_squared,2011-01,2011-02,3450,0.7521,0.1698
M3_gbm_squared,2011-02,2011-03,3393,0.5774,-0.1556
M3_gbm_squared,2011-03,2011-04,3367,0.7852,0.2947
M3_gbm_squared,2011-04,2011-05,3345,0.5480,-0.1233
M3_gbm_squared,2011-05,2011-06,3284,0.5730,0.0788
M3_gbm_squared,2011-06,2011-07,3289,0.4918,-0.0123
M3_gbm_squared,2011-07,2011-08,3310,0.5835,0.0733
M3_gbm_squared,2011-08,2011-09,3324,0.5488,-0.1269
M3_gbm_squared,2011-09,2011-10,3373,0.5740,0.0440
M3_gbm_squared,2011-10,2011-11,3388,0.4906,-0.0250
M4_gbm_absolute,2010-05,2010-06,3670,0.4964,-0.3181
M4_gbm_absolute,2010-06,2010-07,3514,0.4740,-0.0412
M4_gbm_absolute,2010-07,2010-08,3517,0.6160,-0.4244
M4_gbm_absolute,2010-08,2010-09,3507,0.6203,-0.4713
M4_gbm_absolute,2010-09,2010-10,3462,0.5674,-0.3254
M4_gbm_absolute,2010-10,2010-11,3495,0.4953,-0.2702
M4_gbm_absolute,2010-11,2010-12,3514,1.1293,0.7862
M4_gbm_absolute,2010-12,2011-01,3476,0.8027,0.1341
M4_gbm_absolute,2011-01,2011-02,3450,0.5972,-0.1792
M4_gbm_absolute,2011-02,2011-03,3393,0.5374,-0.4113
M4_gbm_absolute,2011-03,2011-04,3367,0.6112,-0.0631
M4_gbm_absolute,2011-04,2011-05,3345,0.5404,-0.3816
M4_gbm_absolute,2011-05,2011-06,3284,0.5046,-0.2055
M4_gbm_absolute,2011-06,2011-07,3289,0.4650,-0.2239
M4_gbm_absolute,2011-07,2011-08,3310,0.4840,-0.2226
M4_gbm_absolute,2011-08,2011-09,3324,0.5296,-0.3598
M4_gbm_absolute,2011-09,2011-10,3373,0.5163,-0.1885
M4_gbm_absolute,2011-10,2011-11,3388,0.4939,-0.2820
